Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,5875,29548,12209,702,269
Cash & Due from Banks Growth,080.12%,142.01%,1638.49%,160.87%,0
Investments 0 Total,27648,22820,11947,9885,10008
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,146,10,10,20,33
Federal Agency Securities,2633,1988,50,0,0
State & Municipal Securities,247,250,99,10,7
Mortgage Backed Securities,20625,17509,9570,8098,8101
Other Securities,2744,2417,1467,1140,1065
Other Investments,1254,646,751,617,802
Investments Growth,21.16%,91.00%,20.86%,01.22%,0
Net Loans,73803,64388,48325,38860,36193
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,40765,36102,21192,11890,8003
Consumer & Installment Loans,8,8,7,10,9
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,33571,28830,27670,27183,28392
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,27,29
Unearned Income,51,77,36,0,0
Loan Loss Allowances Reserves,490,474,508,250,230
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,6,34,47,52
Loans 0 1 Yr Growth Rate,14.62%,33.24%,24.36%,7.37%,0
Total Deposits FOR CALC PURPOSES,88590,106133,63315,40383,36379
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,366,318,318,284,59
Other Assets Including Intangibles,1411,890,645,666,633
Other Assets,1411,890,613,620,583
Intangible Assets,0,0,32,46,50
Deferred Charges,0,0,0,0,0
Interest Receivables,450,307,278,148,142
Total Assets,110635,118679,74097,50592,47585
Assets 0 Total Growth,06.78%,60.17%,46.46%,6.32%,0
Return On Average Assets,1.17%,0,0,0,0
