Fiscal year is January0December. All values USD Thousands.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,26029.0,65300.0,87977.0,11507.0,7782.0
Cash & Due from Banks Growth,060.14%,025.78%,664.55%,47.87%,0
Investments 0 Total,123285.0,121702.0,71760.0,73173.0,67904.0
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,1503.0,4549.0,200.0,141.0
Federal Funds Sold,2315.0,1503.0,4549.0,200.0,141.0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,26627.0,19484.0,0,0,0
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,17656.0,20760.0,11803.0,9826.0,11169.0
Mortgage Backed Securities,64267.0,64149.0,38039.0,57323.0,50785.0
Other Securities,8866.0,11591.0,11853.0,4226.0,3777.0
Other Investments,3554.0,4215.0,5516.0,1598.0,2032.0
Investments Growth,1.30%,69.60%,01.93%,7.76%,0
Net Loans,359574.0,323789.0,329073.0,310674.0,369830.0
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,43708.0,38160.0,46184.0,34072.0,30508.0
Consumer & Installment Loans,99.0,128.0,361.0,611.0,1914.0
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,318140.0,287704.0,285053.0,277687.0,340167.0
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,830.0,655.0,178.0,304.0,503.0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,3203.0,2858.0,2703.0,2000.0,3262.0
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,11.05%,01.61%,5.92%,016.00%,0
Total Deposits FOR CALC PURPOSES,387721.0,384501.0,379848.0,344596.0,406137.0
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,5451.0,5864.0,6275.0,6681.0,8163.0
Other Assets Including Intangibles,18212.0,17301.0,16457.0,19611.0,20268.0
Other Assets,18212.0,17301.0,16457.0,19611.0,20268.0
Intangible Assets,0,0,0,0,0
Deferred Charges,0,0,0,0,0
Interest Receivables,1257.0,948.0,912.0,963.0,1106.0
Total Assets,543900.0,540452.0,517742.0,428708.0,481843.0
Assets 0 Total Growth,0.64%,4.39%,20.77%,011.03%,0
Return On Average Assets,00.03%,0,0,0,0
Total Deposits,387721.0,384501.0,379848.0,344596.0,406137.0
Demand Deposits,246194.0,238954.0,103724.0,65999.0,59071.0
Savings/Time Deposits,141527.0,145547.0,270624.0,249000.0,279069.0
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,5500.0,29597.0,67997.0
Deposits Growth,0.84%,1.22%,10.23%,015.15%,0
Total Debt,71464.0,55442.0,68398.0,17623.0,30010.0
ST Debt & Current Portion LT Debt,13457.0,8481.0,12956.0,39.0,22386.0
Current Portion of Long Term Debt,13457.0,8481.0,12956.0,39.0,22386.0
Short Term Debt,0,0,0,0,0
Long0Term Debt,58007.0,46961.0,55442.0,17584.0,7624.0
LT Debt excl. Capitalized Leases,58007.0,46961.0,55442.0,17584.0,7624.0
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,0,0,0,0,0
Long Term Debt Growth,23.52%,015.30%,215.30%,130.64%,0
Total Assets FOR CALCULATION PURPOSES ONLY,543900.0,540452.0,517742.0,428708.0,481843.0
Total Debt / Total Assets,13.14%,10.26%,13.21%,4.11%,6.23%
Deferred Tax Liabilities,9208.0,4735.0,4303.0,5400.0,6046.0
Deferred Taxes 0 Credit,884.0,813.0,985.0,699.0,744.0
Deferred Taxes 0 Debit,10092.0,5548.0,5288.0,6099.0,6790.0
Other Liabilities,8469.0,8803.0,8503.0,7125.0,6771.0
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,8469.0,8803.0,8503.0,7125.0,6771.0
Deferred Income,0,0,0,0,0
Total Liabilities,468538.0,449559.0,457734.0,370043.0,443662.0
Total Liabilities Growth,4.22%,01.79%,23.70%,016.59%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,75362.0,90893.0,60008.0,58665.0,38181.0
Common Stock Par/Carry Value,62.0,64.0,49.0,49.0,0
Additional Paid0In Capital/Capital Surplus,49931.0,52805.0,20134.0,19981.0,0
Retained Earnings,41468.0,41615.0,41530.0,40213.0,39764.0
ESOP Debt Guarantee,4307.0,3432.0,1615.0,1685.0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,0,0,0,0,0
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,11491.0,142.0,1138.0,107.0,1583.0
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,301.0,301.0,1228.0,0,0
Common Equity / Total Assets,0.14%,0.17%,0.12%,0.14%,0.08%
Total Shareholders Equity,75362.0,90893.0,60008.0,58665.0,38181.0
Total Shareholders Equity / Total Assets,13.86%,16.82%,11.59%,13.68%,7.92%
Return On Average Total Equity,00.18%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,75362.0,90893.0,60008.0,58665.0,38181.0
Liabilities & Shareholders Equity,543900.0,540452.0,517742.0,428708.0,481843.0
