Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,6,6,11,7,6
Cash & Due from Banks Growth,0.13%,044.22%,61.27%,11.45%,0
Investments 0 Total,904,1111,1326,645,561
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,3,0,0
Federal Agency Securities,231,312,84,35,102
State & Municipal Securities,2,5,8,11,18
Mortgage Backed Securities,388,546,476,339,251
Other Securities,50,57,67,17,12
Other Investments,234,191,688,243,179
Investments Growth,018.67%,016.23%,105.66%,14.88%,0
Net Loans,5224,4745,4305,4350,3889
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,1195,999,1062,870,617
Consumer & Installment Loans,42,41,44,58,65
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,3756,3417,2957,3203,3070
Lease Financing Loans,289,346,306,258,173
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,4,4,3,4,4
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,61,62,67,44,39
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,10.10%,10.22%,01.04%,11.85%,0
Total Deposits FOR CALC PURPOSES,5205,5266,4818,4244,3895
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,40,36,35,38,27
Other Assets Including Intangibles,154,153,190,132,123
Other Assets,106,104,147,92,91
Intangible Assets,47,49,44,41,32
Deferred Charges,0,0,0,0,0
Interest Receivables,26,26,22,10,11
Total Assets,6410,6112,5926,5213,4639
Assets 0 Total Growth,4.87%,3.14%,13.67%,12.36%,0
Return On Average Assets,1.19%,0,0,0,0
Total Deposits,5205,5266,4818,4244,3895
Demand Deposits,4618,4551,3982,3236,2955
Savings/Time Deposits,501,596,693,794,705
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,86,119,144,214,236
Deposits Growth,01.16%,9.29%,13.55%,8.94%,0
Total Debt,531,149,390,337,200
ST Debt & Current Portion LT Debt,384,4,19,192,4
Current Portion of Long Term Debt,1,1,1,61,4
Short Term Debt,383,3,18,131,0
Long0Term Debt,147,144,372,144,195
LT Debt excl. Capitalized Leases,133,133,359,128,188
Capitalized Lease Obligations,3,4,6,6,7
Provision for Risks & Charges,0,0,0,0,0
Long Term Debt Growth,1.69%,061.14%,157.49%,026.11%,0
Total Assets FOR CALCULATION PURPOSES ONLY,6410,6112,5926,5213,4639
Total Debt / Total Assets,8.28%,2.43%,6.59%,6.46%,4.30%
Deferred Tax Liabilities,15,39,33,26,16
Deferred Taxes 0 Credit,72,73,68,56,37
Deferred Taxes 0 Debit,56,34,35,30,21
Other Liabilities,69,78,121,73,38
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,69,78,121,73,38
Deferred Income,0,0,0,0,0
Total Liabilities,5877,5566,5399,4709,4170
Total Liabilities Growth,5.59%,3.09%,14.64%,12.92%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,533,546,527,504,469
Common Stock Par/Carry Value,18,17,17,17,16
Additional Paid0In Capital/Capital Surplus,339,332,327,319,309
Retained Earnings,349,274,221,199,155
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,81,10,6,1,3
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,7,3,7,3,1
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,98,65,36,30,9
Common Equity / Total Assets,0.08%,0.09%,0.09%,0.10%,0.10%
Total Shareholders Equity,533,546,527,504,469
Total Shareholders Equity / Total Assets,8.31%,8.94%,8.90%,9.66%,10.11%
Return On Average Total Equity,13.76%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,533,546,527,504,469
Liabilities & Shareholders Equity,6410,6112,5926,5213,4639
